job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
302377595,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1125,37.0,,,,,False,Y
302378317,BIS,2008,BROOKLYN,OTHERS,0,Small (1-3 fl),1828,60.1,,,1664,54.7,True,Y
302378709,BIS,2007,BROOKLYN,OTHERS,1,Small (1-3 fl),2730,89.7,,,2635,86.6,True,N
302378718,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1005,33.0,,,,,False,Y
302379290,BIS,2007,BROOKLYN,OTHERS,8,Mid (4-10 fl),1976,64.9,,,1976,64.9,True,Y
302379307,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),706,23.2,,,,,False,Y
302379316,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),2168,71.2,,,2073,68.1,True,Y
302382062,BIS,2008,BROOKLYN,OTHERS,0,Small (1-3 fl),4227,138.9,,,4227,138.9,True,Y
302383098,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1117,36.7,,,,,False,
302383285,BIS,2007,BROOKLYN,OTHERS,1,Small (1-3 fl),685,22.5,,,,,False,Y
302383524,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1593,52.3,,,,,False,Y
302383551,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),3007,98.8,,,3007,98.8,True,Y
302384159,BIS,2007,BROOKLYN,OTHERS,8,Mid (4-10 fl),1181,38.8,,,,,False,Y
302384266,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),2019,66.3,,,2019,66.3,True,Y
302384373,BIS,2007,BROOKLYN,OTHERS,8,Mid (4-10 fl),2455,80.7,,,2455,80.7,True,Y
302384774,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),2834,93.1,,,2834,93.1,True,Y
302384989,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),838,27.5,,,,,False,Y
302385425,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),844,27.7,,,,,False,Y
302385853,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1375,45.2,,,,,False,Y
302385951,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1516,49.8,,,,,False,Y
302392284,BIS,2007,BROOKLYN,OTHERS,7,Mid (4-10 fl),2446,80.4,,,2355,77.4,True,Y
302392337,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),753,24.7,,,,,False,Y
302393087,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),1284,42.2,,,,,False,Y
302393176,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),783,25.7,,,,,False,Y
302393274,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),1194,39.2,,,,,False,Y
302393345,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1201,39.5,,,,,False,Y
302393354,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1227,40.3,,,,,False,Y
302394371,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1510,49.6,,,,,False,Y
302394380,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1518,49.9,,,,,False,Y
302394399,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1511,49.6,,,,,False,Y
302394406,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1510,49.6,,,,,False,Y
302394415,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1518,49.9,,,,,False,Y
302394424,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1516,49.8,,,,,False,Y
302394442,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1511,49.6,,,,,False,Y
302394451,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),1516,49.8,,,,,False,Y
302394460,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),1516,49.8,,,,,False,Y
302551842,BIS,2010,BROOKLYN,OTHERS,0,Small (1-3 fl),2889,94.9,,,922,30.3,True,
302554322,BIS,2008,BROOKLYN,OTHERS,0,Small (1-3 fl),4120,135.3,,,1490,48.9,True,
302557141,BIS,2009,BROOKLYN,OTHERS,0,Small (1-3 fl),3181,104.5,,,1280,42.0,True,
302562714,BIS,2011,BROOKLYN,OTHERS,0,Small (1-3 fl),912,30.0,,,686,22.5,True,
302562812,BIS,2012,BROOKLYN,OTHERS,0,Small (1-3 fl),3125,102.7,,,1108,36.4,True,
302566453,BIS,2014,BROOKLYN,OTHERS,0,Small (1-3 fl),3932,129.2,,,1080,35.5,True,
302575256,BIS,2017,BROOKLYN,OTHERS,0,Small (1-3 fl),2549,83.7,,,1099,36.1,True,
302585450,BIS,2019,BROOKLYN,OTHERS,0,Small (1-3 fl),2087,68.6,,,2087,68.6,True,
310000094,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1232,40.5,,,,,False,Y
310000101,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1233,40.5,,,,,False,Y
310000110,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1232,40.5,,,,,False,Y
310000138,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1232,40.5,,,,,False,Y
310000165,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),627,20.6,,,,,False,Y
310000183,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1239,40.7,,,,,False,Y
310000192,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1229,40.4,,,,,False,Y
310000209,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1239,40.7,,,,,False,Y
310000487,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),833,27.4,,,,,False,Y
310000496,BIS,2007,BROOKLYN,1-2-3 FAMILY,2,Small (1-3 fl),840,27.6,,,,,False,Y
310000726,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),3801,124.9,,,3683,121.0,True,Y
310000799,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),690,22.7,,,,,False,Y
310001226,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),742,24.4,,,,,False,Y
310001306,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1475,48.5,,,,,False,Y
310001315,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),3481,114.4,,,3472,114.1,True,
310001495,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1235,40.6,,,,,False,Y
310001501,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1232,40.5,,,,,False,Y
310001510,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1232,40.5,,,,,False,Y
310001725,BIS,2007,BROOKLYN,OTHERS,8,Mid (4-10 fl),4843,159.1,,,4230,139.0,True,Y
310001921,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1478,48.6,,,,,False,Y
310002467,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),946,31.1,,,,,False,Y
310003787,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),2338,76.8,,,2338,76.8,True,Y
310003796,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),2299,75.5,,,2299,75.5,True,Y
310003858,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),3593,118.0,,,3593,118.0,True,Y
310003867,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),3129,102.8,,,3129,102.8,True,Y
310003901,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),1139,37.4,,,,,False,Y
310004198,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),3193,104.9,,,1885,61.9,True,N
310005035,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1245,40.9,,,,,False,Y
310005115,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),2412,79.2,,,2105,69.2,True,Y
310005124,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),1244,40.9,,,,,False,Y
310005909,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),686,22.5,,,,,False,Y
310006356,BIS,2007,BROOKLYN,1-2-3 FAMILY,1,Small (1-3 fl),1322,43.4,,,,,False,Y
310007541,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),2891,95.0,,,2891,95.0,True,
310007836,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),1448,47.6,,,,,False,Y
310008032,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),764,25.1,,,,,False,Y
310008283,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1354,44.5,,,,,False,Y
310008292,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),4156,136.5,,,4156,136.5,True,Y
310009184,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),4408,144.8,,,4178,137.3,True,Y
310009228,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1454,47.8,,,,,False,Y
310009264,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1003,33.0,,,,,False,Y
310009273,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),1187,39.0,,,,,False,Y
310009772,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1788,58.7,,,1788,58.7,True,Y
310010029,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),1406,46.2,,,,,False,Y
310010742,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),2380,78.2,,,2311,75.9,True,Y
310010804,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),972,31.9,,,,,False,Y
310011581,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),524,17.2,,,,,False,Y
310011590,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),564,18.5,,,,,False,Y
310011849,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1979,65.0,,,1979,65.0,True,N
310011858,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1976,64.9,,,1976,64.9,True,N
310011867,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1980,65.0,,,1938,63.7,True,N
310011876,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1985,65.2,,,1985,65.2,True,N
310011885,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1980,65.0,,,1938,63.7,True,N
310011894,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1985,65.2,,,1985,65.2,True,N
310012072,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),1035,34.0,,,,,False,Y
310012269,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1385,45.5,,,,,False,Y
310012287,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),433,14.2,,,,,False,Y
310012296,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),460,15.1,,,,,False,Y
310012303,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),406,13.3,,,,,False,Y
310012312,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),462,15.2,,,,,False,Y
310012321,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),406,13.3,,,,,False,Y
310012330,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),461,15.1,,,,,False,Y
310012349,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),404,13.3,,,,,False,Y
310012358,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),405,13.3,,,,,False,Y
310012474,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),2407,79.1,,,2407,79.1,True,Y
310012839,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),615,20.2,,,,,False,Y
310013507,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),454,14.9,,,,,False,Y
310013516,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),454,14.9,,,,,False,Y
310014800,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),3957,130.0,,,3717,122.1,True,Y
310014828,BIS,2008,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),2081,68.4,,,2081,68.4,True,Y
310015346,BIS,2008,BROOKLYN,OTHERS,0,Small (1-3 fl),2140,70.3,,,1603,52.7,True,
310015444,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),5795,190.4,,,4021,132.1,True,Y
310015453,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),1336,43.9,,,,,False,Y
310016032,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1667,54.8,,,,,False,Y
310016443,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),925,30.4,,,,,False,Y
310016611,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),871,28.6,,,,,False,Y
310017095,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),437,14.4,,,,,False,Y
310017102,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),442,14.5,,,,,False,Y
310017488,BIS,2007,BROOKLYN,OTHERS,3,Small (1-3 fl),1769,58.1,,,,,False,Y
310017852,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),702,23.1,,,,,False,Y
310017861,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),703,23.1,,,,,False,Y
310017870,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),703,23.1,,,,,False,Y
310017889,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),703,23.1,,,,,False,Y
310018012,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),1410,46.3,,,,,False,Y
310018049,BIS,2007,BROOKLYN,OTHERS,7,Mid (4-10 fl),1457,47.9,,,,,False,N
310019137,BIS,2007,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),957,31.4,,,,,False,
310019459,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),2427,79.7,,,2427,79.7,True,N
310019501,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),751,24.7,,,,,False,Y
310019592,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),1061,34.9,,,,,False,Y
310019878,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),2160,71.0,,,1881,61.8,True,Y
310020241,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),2357,77.4,,,2043,67.1,True,Y
310020410,BIS,2014,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),1561,51.3,,,1521,50.0,True,
310020456,BIS,2007,BROOKLYN,OTHERS,12,Large (11-30 fl),3887,127.7,,,2674,87.8,True,Y
310020465,BIS,2007,BROOKLYN,OTHERS,5,Mid (4-10 fl),1211,39.8,,,,,False,Y
310020697,BIS,2007,BROOKLYN,OTHERS,7,Mid (4-10 fl),3525,115.8,,,3525,115.8,True,Y
310020704,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),476,15.6,,,,,False,Y
310021311,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),1503,49.4,,,,,False,
310021936,BIS,2007,BROOKLYN,OTHERS,8,Mid (4-10 fl),1217,40.0,,,,,False,Y
310021945,BIS,2007,BROOKLYN,OTHERS,0,Small (1-3 fl),819,26.9,,,,,False,Y
310021954,BIS,2007,BROOKLYN,OTHERS,4,Mid (4-10 fl),861,28.3,,,,,False,Y
310022622,BIS,2007,BROOKLYN,OTHERS,7,Mid (4-10 fl),2449,80.5,,,2449,80.5,True,Y
310023159,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),575,18.9,,,,,False,Y
310023168,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),575,18.9,,,,,False,Y
310023177,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),578,19.0,,,,,False,Y
310023186,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),576,18.9,,,,,False,Y
310023195,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),582,19.1,,,,,False,Y
310023202,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),575,18.9,,,,,False,Y
310023211,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),576,18.9,,,,,False,Y
310023220,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),575,18.9,,,,,False,Y
