job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00517601-Z1,DOB NOW,2023,BROOKLYN,OTHERS,0,Large (11-30 fl),177,5.8,2,0.1,,,False,
B00519039-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),721,23.7,237,7.8,,,False,
B00519039-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),721,23.7,238,7.8,,,False,
B00519039-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),714,23.5,246,8.1,,,False,
B00519039-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),741,24.3,370,12.2,,,False,
B00519039-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),735,24.1,259,8.5,,,False,
B00519475-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),946,31.1,232,7.6,,,False,
B00519475-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),922,30.3,159,5.2,,,False,
B00519475-S4,DOB NOW,2022,BROOKLYN,OTHERS,0,Tower (30+ fl),853,28.0,246,8.1,,,False,
B00519475-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Tower (30+ fl),1203,39.5,762,25.0,,,False,
B00519475-S6,DOB NOW,2022,BROOKLYN,OTHERS,0,Tower (30+ fl),1203,39.5,427,14.0,,,False,
B00519475-S7,DOB NOW,2022,BROOKLYN,OTHERS,0,Tower (30+ fl),656,21.6,646,21.2,,,False,
B00519475-Z1,DOB NOW,2023,BROOKLYN,OTHERS,0,Tower (30+ fl),391,12.8,162,5.3,,,False,
B00520132-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1198,39.4,548,18.0,,,False,
B00520132-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1249,41.0,424,13.9,,,False,
B00520132-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1068,35.1,383,12.6,,,False,
B00520132-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1068,35.1,125,4.1,,,False,
