job,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
421362386,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),2937,96.5,2937,96.5,True,
421363214,2017,QUEENS,OTHERS,0,Small (1-3 fl),1711,56.2,924,30.4,True,
421363688,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1045,34.3,1045,34.3,True,
421363697,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1800,59.1,1616,53.1,True,
421363857,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1014,33.3,1014,33.3,True,
421363955,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),774,25.4,774,25.4,True,
421363973,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),769,25.3,769,25.3,True,
421363982,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1007,33.1,1007,33.1,True,
421363991,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),769,25.3,769,25.3,True,
421364106,2018,QUEENS,OTHERS,0,Small (1-3 fl),1786,58.7,921,30.3,True,
421364614,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),959,31.5,959,31.5,True,
421364623,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),509,16.7,509,16.7,True,
421364810,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),905,29.7,905,29.7,True,
421365267,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),2058,67.6,2058,67.6,True,
421365301,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),796,26.1,796,26.1,True,
421365677,2016,QUEENS,OTHERS,1,Small (1-3 fl),663,21.8,663,21.8,True,
421365784,2016,QUEENS,OTHERS,7,Mid (4-10 fl),2442,80.2,2442,80.2,True,
421366257,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),2719,89.3,2719,89.3,True,
421366827,2016,QUEENS,OTHERS,7,Mid (4-10 fl),1828,60.1,1828,60.1,True,
421366863,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1575,51.7,1575,51.7,True,
421366872,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1572,51.6,1572,51.6,True,
421366881,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1572,51.6,1572,51.6,True,
421366890,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1572,51.6,1572,51.6,True,
421366961,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1490,48.9,1490,48.9,True,
421366970,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1512,49.7,1512,49.7,True,
421367096,2016,QUEENS,1-2-3 FAMILY,4,Mid (4-10 fl),1763,57.9,1763,57.9,True,
